Member State (States/Entities) ,Reproductive Health Act,General Medical Health Act,Constitution,Criminal/ Penal Code,Civil Code,Ministerial Orders/ Decrees,Case Law,Health Regulation or Clinical Guideline,EML/ Registered List,Medical Ethics Code,Document relating to Funding,Abortion Specific Law,Law on Medical Practitioners,Law on Health Care Services,Other
Afghanistan,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Albania,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Algeria,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Andorra,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Angola,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
Antigua and Barbuda,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Argentina,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Armenia,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Australia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Australia - Capital Territory,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
Australia - New South Wales,x,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Australia - Northern Territory,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Australia - Queensland,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Australia - South Australia,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Australia - Tasmania,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
Australia - Victoria,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
Australia - Western Australia,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
Austria,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1
Azerbaijan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
Bangladesh,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Barbados,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Belarus,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Belgium,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Belize,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Benin,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Bhutan,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
